
 num     #instances         #bytes  class name
 262:             4            128  java.util.Collections$SynchronizedMap
 263:             4            128  java.util.Stack
 264:             8            128  java.util.TreeMap$EntrySet
 265:             3            120  java.io.ObjectOutputStream$BlockDataOutputStream
 266:             5            120  java.io.ObjectStreamClass$ExceptionInfo
 267:             3            120  java.lang.invoke.BoundMethodHandle$Species_LL
 268:             3            120  java.util.HashMap$ValueIterator
 269:             3            120  java.util.IdentityHashMap
 270:             3            120  sun.misc.FloatingDecimal$BinaryToASCIIBuffer
 271:             5            120  sun.misc.FloatingDecimal$PreparedASCIIToBinaryBuffer
 272:             5            120  sun.nio.fs.WindowsPathType
 273:             3            120  sun.rmi.transport.WeakRef
 274:             2            112  [Ljava.lang.invoke.MethodType;
 275:             7            112  java.lang.ThreadLocal
 276:             2            112  java.net.SocketPermission
 277:             7            112  java.util.HashMap$Values
 278:             2            112  sun.security.provider.SHA
 279:             3            104  [Ljava.net.InetAddress;
 280:             6             96  [Lsun.reflect.generics.tree.TypeSignature;
 281:             3             96  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping
 282:             3             96  java.io.ObjectInputStream$HandleTable
 283:             3             96  java.io.ObjectInputStream$PeekInputStream
 284:             4             96  java.lang.ThreadLocal$ThreadLocalMap
 285:             3             96  java.lang.reflect.Proxy$Key1
 286:             3             96  java.lang.reflect.WeakCache$CacheValue
 287:             4             96  java.net.InetAddress
 288:             2             96  java.net.SocketOutputStream
 289:             3             96  java.util.Collections$UnmodifiableMap
 290:             6             96  java.util.Collections$UnmodifiableSet
 291:             3             96  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 292:             2             96  javax.management.openmbean.TabularType
 293:             2             96  sun.management.GarbageCollectorImpl
 294:             1             96  sun.misc.Launcher$AppClassLoader
 295:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo
 296:             4             96  sun.reflect.annotation.AnnotationInvocationHandler
 297:             3             96  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 298:             3             96  sun.reflect.generics.repository.ClassRepository
 299:             3             96  sun.rmi.transport.LiveRef
 300:             3             96  sun.rmi.transport.StreamRemoteCall
 301:             6             96  sun.rmi.transport.Transport$$Lambda$6/1597826953
 302:             3             96  sun.rmi.transport.Transport$1
 303:             1             96  sun.security.jca.ProviderList$1
 304:             1             96  sun.security.provider.Sun
 305:             3             88  [Ljava.rmi.server.Operation;
 306:             1             88  sun.misc.Launcher$ExtClassLoader
 307:             2             80  [F
 308:             1             80  [Ljava.util.concurrent.RunnableScheduledFuture;
 309:             2             80  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping
 310:             1             80  com.sun.jmx.remote.util.ClassLoaderWithRepository
 311:             2             80  java.io.BufferedInputStream
 312:             2             80  java.io.BufferedWriter
 313:             2             80  java.io.ExpiringCache
 314:             2             80  java.lang.invoke.MethodHandleImpl$AsVarargsCollector
 315:             5             80  java.util.LinkedHashMap$LinkedValues
 316:             1             80  java.util.concurrent.ScheduledThreadPoolExecutor
 317:             1             80  java.util.concurrent.ThreadPoolExecutor
 318:             2             80  sun.management.MemoryManagerImpl
 319:             1             80  sun.net.www.protocol.jar.URLJarFile
 320:             1             80  sun.reflect.misc.MethodUtil
 321:             2             80  sun.rmi.server.UnicastServerRef2
 322:             2             80  sun.rmi.transport.tcp.TCPTransport$ConnectionHandler
 323:             1             72  [Ljava.lang.invoke.LambdaFormEditor$Transform$Kind;
 324:             1             72  [Ljavax.management.openmbean.SimpleType;
 325:             2             72  [Lsun.security.jca.ProviderConfig;
 326:             3             72  java.io.BufferedOutputStream
 327:             3             72  java.io.ObjectOutputStream$ReplaceTable
 328:             3             72  java.io.OutputStreamWriter
 329:             3             72  java.io.SerialCallbackContext
 330:             3             72  java.lang.annotation.RetentionPolicy
 331:             3             72  java.net.InetAddress$CacheEntry
 332:             3             72  java.net.Proxy$Type
 333:             3             72  java.security.SecurityPermission
 334:             3             72  java.util.Collections$SynchronizedSet
 335:             1             72  java.util.ResourceBundle$RBClassLoader
 336:             1             72  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
 337:             3             72  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 338:             1             72  java.util.logging.LogManager$RootLogger
 339:             1             72  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader
 340:             1             72  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper
 341:             3             72  javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation
 342:             3             72  sun.misc.FloatingDecimal$ExceptionalBinaryToASCIIBuffer
 343:             3             72  sun.misc.ObjectInputFilter$Status
 344:             3             72  sun.reflect.generics.tree.ClassSignature
 345:             3             72  sun.reflect.generics.tree.FormalTypeParameter
 346:             1             72  sun.util.locale.provider.JRELocaleProviderAdapter
 347:             2             64  [Ljava.lang.annotation.RetentionPolicy;
